País,Sedes,secciones promedio,PBI per Cápita 2022 (U$S)
Brazil,10,2.4,8917.67
Spain,7,1.8571428571428572,29674.54
United States,7,2.857142857142857,76329.58
Chile,5,1.4,15355.48
Uruguay,4,1.75,20795.04
Bolivia,3,1.0,3600.12
Australia,2,1.5,65099.85
Belgium,2,3.5,49926.83
Canada,2,3.5,54917.66
France,2,1.5,40886.25
Germany,2,1.5,48717.99
India,2,3.0,2410.89
Israel,2,1.5,54930.94
Italy,2,3.0,34776.42
Paraguay,2,2.0,6153.06
United Kingdom,2,3.0,46125.26
Algeria,1,3.0,4342.64
Armenia,1,3.0,7018.05
Austria,1,3.0,52084.68
Azerbaijan,1,3.0,7762.07
Barbados,1,1.0,20238.78
Bulgaria,1,2.0,13974.45
Colombia,1,1.0,6624.17
Costa Rica,1,1.0,13365.36
Cuba,1,1.0,56495.85
Czechia,1,2.0,27223.05
Denmark,1,1.0,67790.05
Dominican Republic,1,1.0,10111.25
Ecuador,1,3.0,6391.28
"Egypt, Arab Rep.",1,3.0,4295.41
El Salvador,1,3.0,5127.32
Ethiopia,1,2.0,1027.59
Finland,1,2.0,50916.28
Greece,1,2.0,20867.27
Hungary,1,1.0,18390.19
Ireland,1,2.0,103983.29
Jamaica,1,2.0,6047.22
Japan,1,1.0,33823.57
Kenya,1,2.0,2099.3
"Korea, Rep.",1,2.0,32422.57
Kuwait,1,1.0,41079.52
Malaysia,1,1.0,11993.19
Mexico,1,4.0,11496.52
Morocco,1,2.0,3441.99
Mozambique,1,1.0,558.3
Netherlands,1,2.0,57025.01
Nigeria,1,2.0,2162.63
Norway,1,2.0,106177.2
Pakistan,1,1.0,1588.88
Peru,1,2.0,7125.83
Philippines,1,3.0,3498.51
Poland,1,1.0,18688.0
Romania,1,2.0,15786.8
Russian Federation,1,2.0,15270.71
Saudi Arabia,1,3.0,30447.88
Singapore,1,2.0,82807.63
South Africa,1,3.0,6766.48
Sweden,1,3.0,56373.79
Switzerland,1,4.0,93259.91
Thailand,1,1.0,6909.96
Trinidad and Tobago,1,1.0,19629.47
Tunisia,1,4.0,3747.42
Ukraine,1,2.0,4533.98
United Arab Emirates,1,1.0,53707.98
Viet Nam,1,2.0,4163.51
West Bank and Gaza,1,1.0,3789.33
